time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-05 00:00:00+00:00,12,6,26,13
2025-07-06 00:00:00+00:00,13,7,75,8
2025-07-07 00:00:00+00:00,16,10,186,20
2025-07-08 00:00:00+00:00,12,6,95,19
2025-07-09 00:00:00+00:00,18,11,29,16
2025-07-10 00:00:00+00:00,24,13,19,12
2025-07-11 00:00:00+00:00,16,10,25,13
2025-07-12 00:00:00+00:00,17,11,17,6
2025-07-13 00:00:00+00:00,11,5,216,14
2025-07-14 00:00:00+00:00,16,9,310,17
2025-07-15 00:00:00+00:00,18,10,146,22
2025-07-16 00:00:00+00:00,16,9,25,9
2025-07-17 00:00:00+00:00,10,4,32,16
2025-07-18 00:00:00+00:00,3,3,48,11
