referrer,views_total,views_unique
Google,121,28
aws.amazon.com,91,18
github.com,10,5
youtube.com,10,3
confluence.fmi.adaptavist.cloud,6,1
pages.awscloud.com,1,1
dev.azure.com,1,1
statics.teams.cdn.office.net,1,1
Bing,1,1
auc-word-edit.officeapps.live.com,1,1
