referrer,views_total,views_unique
Google,84,27
github.com,20,9
answers.amazon.com,18,8
aws.amazon.com,15,11
quip-amazon.com,14,2
statics.teams.cdn.office.net,6,5
youtube.com,4,2
linkedin.com,2,2
confluence.corp.jefco.com,2,1
pages.awscloud.com,1,1
