referrer,views_total,views_unique
Google,85,32
github.com,17,9
coinswitch.atlassian.net,7,2
pages.awscloud.com,5,3
quip-amazon.com,5,1
wellarchitectedlabs.com,1,1
agco-dcx.visualstudio.com,1,1
Bing,1,1
com.google.android.gm,1,1
getpocket.com,1,1
