time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-18 00:00:00+00:00,4,4,15,7
2024-05-19 00:00:00+00:00,14,8,48,9
2024-05-20 00:00:00+00:00,6,6,42,18
2024-05-21 00:00:00+00:00,10,6,16,10
2024-05-22 00:00:00+00:00,8,5,60,24
2024-05-23 00:00:00+00:00,9,6,96,33
2024-05-24 00:00:00+00:00,5,5,58,14
2024-05-25 00:00:00+00:00,5,5,167,60
2024-05-26 00:00:00+00:00,6,6,124,38
2024-05-27 00:00:00+00:00,5,5,57,15
2024-05-28 00:00:00+00:00,9,5,94,27
2024-05-29 00:00:00+00:00,11,7,73,25
2024-05-30 00:00:00+00:00,8,5,217,8
2024-05-31 00:00:00+00:00,6,5,53,19
