referrer,views_total,views_unique
Google,102,40
github.com,23,13
Bing,9,2
statics.teams.cdn.office.net,8,7
coinswitch.atlassian.net,7,2
pages.awscloud.com,5,3
quip-amazon.com,5,1
DuckDuckGo,3,2
teams.microsoft.com,1,1
t.co,1,1
