time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-29 00:00:00+00:00,6,4,11,5
2023-01-30 00:00:00+00:00,8,6,64,32
2023-01-31 00:00:00+00:00,6,4,61,26
2023-02-01 00:00:00+00:00,5,5,56,36
2023-02-02 00:00:00+00:00,12,6,147,41
2023-02-03 00:00:00+00:00,13,9,79,30
2023-02-04 00:00:00+00:00,3,3,21,8
2023-02-05 00:00:00+00:00,8,4,24,10
2023-02-06 00:00:00+00:00,5,5,68,28
2023-02-07 00:00:00+00:00,3,3,47,15
2023-02-08 00:00:00+00:00,3,3,79,33
2023-02-09 00:00:00+00:00,4,4,63,25
2023-02-10 00:00:00+00:00,17,5,40,19
2023-02-11 00:00:00+00:00,5,5,11,6
